arquivo,split,classes,objetos,ortho_scale
escolar_0192,train,lapis;apontador;borracha,3,9.407
escolar_0193,train,borracha;apontador,2,8.317
escolar_0194,train,apontador;lapis;borracha,3,9.489
escolar_0195,train,lapis;borracha;apontador,3,8.791
escolar_0196,train,borracha;apontador,2,9.623
escolar_0197,train,apontador;lapis,2,9.344
escolar_0198,train,lapis;borracha,2,9.441
escolar_0199,train,borracha;lapis,2,8.565
escolar_0200,train,apontador;borracha;lapis,3,9.396
escolar_0201,train,lapis;apontador;borracha,3,9.675
escolar_0202,train,borracha;lapis,2,8.689
escolar_0203,train,apontador;lapis,2,8.386
escolar_0204,train,lapis;borracha,2,8.741
escolar_0205,train,borracha;lapis,2,8.636
escolar_0206,train,apontador;borracha;lapis,3,8.991
escolar_0207,train,lapis;borracha;apontador,3,9.122
escolar_0208,train,borracha;lapis;apontador,3,9.493
escolar_0209,train,apontador;borracha;lapis,3,9.501
escolar_0210,train,lapis;borracha;apontador,3,9.717
escolar_0211,train,borracha;lapis;apontador,3,9.158
escolar_0212,train,apontador;borracha;lapis,3,8.435
escolar_0213,train,lapis;apontador,2,9.671
escolar_0214,train,borracha;lapis;apontador,3,8.639
escolar_0215,train,apontador;lapis;borracha,3,9.317
escolar_0216,train,lapis;borracha,2,8.721
escolar_0217,train,borracha;lapis,2,8.589
escolar_0218,train,apontador;borracha,2,9.070
escolar_0219,train,lapis;borracha;apontador,3,8.854
escolar_0220,train,borracha;lapis;apontador,3,8.983
escolar_0221,train,apontador;lapis;borracha,3,8.521
escolar_0222,train,lapis;apontador,2,9.765
escolar_0223,train,borracha,1,9.681
escolar_0224,train,apontador,1,9.154
escolar_0225,train,lapis;apontador,2,8.438
escolar_0226,train,borracha,1,9.026
escolar_0227,train,apontador;lapis,2,9.511
escolar_0228,train,lapis;apontador;borracha,3,8.434
escolar_0229,train,borracha;apontador;lapis,3,9.398
escolar_0230,train,apontador;borracha;lapis,3,8.598
escolar_0231,train,lapis;borracha,2,9.733
escolar_0232,train,borracha;apontador;lapis,3,9.236
escolar_0233,train,apontador;lapis,2,9.167
escolar_0234,train,lapis;borracha;apontador,3,9.561
escolar_0235,train,borracha;apontador;lapis,3,8.589
escolar_0236,train,apontador;lapis,2,9.647
escolar_0237,train,lapis;borracha;apontador,3,9.307
escolar_0238,train,borracha;lapis;apontador,3,9.565
escolar_0239,train,apontador;borracha,2,9.396
escolar_0240,train,lapis;apontador,2,9.166
escolar_0241,train,borracha;apontador;lapis,3,8.399
escolar_0242,train,apontador;borracha;lapis,3,9.151
escolar_0243,train,lapis;borracha,2,9.090
escolar_0244,train,borracha;apontador,2,8.375
escolar_0245,train,apontador,1,8.992
escolar_0246,train,lapis;apontador,2,8.994
escolar_0247,train,borracha;apontador,2,8.383
escolar_0248,train,apontador;borracha;lapis,3,9.640
escolar_0249,train,lapis;apontador,2,9.298
escolar_0250,train,borracha;apontador,2,8.429
escolar_0251,train,apontador,1,9.542
escolar_0252,train,lapis;apontador,2,8.409
escolar_0253,train,borracha;lapis;apontador,3,8.507
escolar_0254,train,apontador,1,8.666
escolar_0255,train,lapis;borracha;apontador,3,8.719
escolar_0256,train,borracha;lapis,2,8.721
escolar_0257,train,apontador;lapis,2,8.641
escolar_0258,train,lapis;borracha,2,9.646
escolar_0259,train,borracha;lapis,2,8.775
escolar_0260,train,apontador,1,8.597
escolar_0261,train,lapis;apontador,2,8.832
escolar_0262,train,borracha;lapis,2,8.946
escolar_0263,train,apontador,1,9.679
escolar_0264,train,lapis;borracha,2,9.252
escolar_0265,train,borracha;apontador,2,9.021
escolar_0266,train,apontador;lapis,2,9.528
escolar_0267,train,lapis;borracha,2,8.897
escolar_0268,train,borracha;lapis,2,8.737
escolar_0269,train,apontador;lapis;borracha,3,8.918
escolar_0270,train,lapis;borracha,2,9.634
escolar_0271,train,borracha;apontador,2,8.726
escolar_0272,train,apontador;borracha;lapis,3,8.960
escolar_0273,train,lapis;apontador,2,8.441
escolar_0274,train,borracha;lapis;apontador,3,9.116
escolar_0275,train,apontador;borracha;lapis,3,8.554
escolar_0276,train,lapis;apontador;borracha,3,9.013
escolar_0277,train,borracha,1,9.748
escolar_0278,train,apontador;lapis;borracha,3,8.891
escolar_0279,train,lapis;apontador,2,8.903
escolar_0280,train,borracha;lapis;apontador,3,9.529
escolar_0281,train,apontador;lapis;borracha,3,9.223
escolar_0282,train,lapis;borracha,2,8.885
escolar_0283,train,borracha;lapis,2,8.902
escolar_0284,train,apontador;lapis;borracha,3,9.398
escolar_0285,train,lapis,1,9.374
escolar_0286,train,borracha;apontador;lapis,3,8.795
escolar_0287,train,apontador;borracha;lapis,3,8.534
escolar_0288,train,lapis;borracha,2,8.574
escolar_0289,train,borracha;lapis;apontador,3,9.264
escolar_0290,train,apontador;lapis;borracha,3,9.294
escolar_0291,train,lapis;borracha,2,8.369
escolar_0292,train,borracha,1,9.002
escolar_0293,train,apontador;borracha;lapis,3,8.537
escolar_0294,train,lapis;apontador;borracha,3,9.203
escolar_0295,train,borracha;lapis;apontador,3,9.060
escolar_0296,train,apontador;lapis;borracha,3,9.046
escolar_0297,train,lapis;apontador,2,9.508
escolar_0298,train,borracha,1,8.582
escolar_0299,train,apontador;lapis;borracha,3,9.126
escolar_0300,train,lapis;apontador;borracha,3,9.002
escolar_0301,train,borracha,1,9.414
escolar_0302,train,apontador;borracha,2,8.720
escolar_0303,train,lapis;apontador;borracha,3,8.821
escolar_0304,train,borracha;apontador,2,8.641
escolar_0305,train,apontador;lapis,2,9.615
escolar_0306,train,lapis;borracha;apontador,3,9.705
escolar_0307,train,borracha;lapis;apontador,3,9.312
escolar_0308,train,apontador;lapis;borracha,3,9.250
escolar_0309,train,lapis,1,8.551
escolar_0310,train,borracha;apontador;lapis,3,9.091
escolar_0311,train,apontador;borracha,2,8.622
escolar_0312,train,lapis;borracha,2,8.315
escolar_0313,train,borracha;lapis,2,9.003
escolar_0314,train,apontador;lapis,2,9.202
escolar_0315,train,lapis;apontador,2,8.982
escolar_0316,train,borracha;lapis,2,9.610
escolar_0317,train,apontador;lapis,2,9.602
escolar_0318,train,lapis;borracha,2,9.128
escolar_0319,train,borracha;apontador,2,8.781
escolar_0320,train,apontador;lapis,2,8.354
escolar_0321,train,lapis;apontador,2,9.607
escolar_0322,train,borracha,1,8.581
escolar_0323,train,apontador;borracha,2,9.457
escolar_0324,train,lapis;borracha;apontador,3,9.487
escolar_0325,train,borracha;lapis,2,8.926
escolar_0326,train,apontador;lapis;borracha,3,8.389
escolar_0327,train,lapis,1,9.180
escolar_0328,train,borracha;lapis,2,9.758
escolar_0329,train,apontador;lapis,2,9.125
escolar_0330,train,lapis;apontador,2,8.600
escolar_0331,train,borracha;lapis;apontador,3,9.695
escolar_0332,train,apontador;lapis;borracha,3,9.646
escolar_0333,train,lapis;apontador;borracha,3,8.680
escolar_0334,train,borracha;lapis;apontador,3,8.460
escolar_0335,train,apontador;borracha,2,9.455
escolar_0336,train,lapis;borracha;apontador,3,9.103
escolar_0337,train,borracha;apontador,2,8.350
escolar_0338,train,apontador;lapis;borracha,3,9.517
escolar_0339,train,lapis;borracha,2,8.949
escolar_0340,train,borracha;apontador,2,9.197
escolar_0341,train,apontador;borracha;lapis,3,9.692
escolar_0342,train,lapis;apontador;borracha,3,8.326
escolar_0343,train,borracha;apontador,2,9.482
escolar_0344,train,apontador;lapis;borracha,3,9.674
escolar_0345,train,lapis,1,9.051
escolar_0346,train,borracha;lapis;apontador,3,9.166
escolar_0347,train,apontador;lapis,2,8.950
escolar_0348,train,lapis;borracha;apontador,3,9.752
escolar_0349,train,borracha,1,9.522
escolar_0350,train,apontador;borracha,2,9.346
escolar_0351,train,lapis;borracha,2,8.525
escolar_0352,train,borracha;lapis;apontador,3,9.464
escolar_0353,train,apontador;lapis;borracha,3,8.351
escolar_0354,train,lapis,1,8.617
escolar_0355,train,borracha;apontador;lapis,3,9.186
escolar_0356,train,apontador,1,9.397
escolar_0357,train,lapis;apontador,2,9.302
escolar_0358,train,borracha;lapis,2,9.456
escolar_0359,train,apontador;lapis,2,9.575
escolar_0360,train,lapis;borracha;apontador,3,8.905
escolar_0361,train,borracha;lapis,2,8.883
escolar_0362,train,apontador;borracha;lapis,3,8.609
escolar_0363,train,lapis;borracha;apontador,3,8.886
escolar_0364,train,borracha;apontador,2,8.760
escolar_0365,train,apontador;lapis,2,8.445
escolar_0366,train,lapis;apontador;borracha,3,8.546
escolar_0367,train,borracha,1,9.698
escolar_0368,train,apontador,1,9.586
escolar_0369,train,lapis;borracha;apontador,3,9.237
escolar_0370,train,borracha;lapis,2,9.537
escolar_0371,train,apontador,1,9.137
escolar_0372,train,lapis;borracha,2,8.396
escolar_0373,train,borracha;lapis;apontador,3,9.115
escolar_0374,train,apontador,1,8.435
escolar_0375,train,lapis;borracha,2,9.596
escolar_0376,train,borracha;apontador;lapis,3,8.647
escolar_0377,train,apontador;borracha;lapis,3,8.897
escolar_0378,train,lapis;apontador,2,8.454
escolar_0379,train,borracha;lapis,2,9.728
escolar_0380,train,apontador;lapis;borracha,3,9.662
escolar_0381,train,lapis;borracha;apontador,3,8.661
escolar_0382,train,borracha;apontador;lapis,3,8.375
escolar_0383,train,apontador;borracha,2,9.691
escolar_0384,train,lapis;apontador,2,9.323
escolar_0385,train,borracha;apontador;lapis,3,8.974
escolar_0386,train,apontador;borracha,2,9.732
escolar_0387,train,lapis;borracha,2,8.437
escolar_0388,train,borracha;apontador,2,9.343
escolar_0389,train,apontador;lapis;borracha,3,8.907
escolar_0390,train,lapis;borracha,2,8.547
escolar_0391,train,borracha;apontador;lapis,3,9.796
escolar_0392,train,apontador;lapis;borracha,3,8.757
escolar_0393,train,lapis;borracha,2,8.962
escolar_0394,train,borracha;lapis,2,8.431
escolar_0395,train,apontador;lapis;borracha,3,8.789
escolar_0396,train,lapis,1,8.958
escolar_0397,train,borracha;lapis;apontador,3,9.131
escolar_0398,train,apontador;lapis,2,8.336
escolar_0399,train,lapis;borracha;apontador,3,8.970
escolar_0400,train,borracha,1,8.302
escolar_0401,train,apontador;lapis;borracha,3,8.646
escolar_0402,train,lapis;borracha,2,8.460
escolar_0403,train,borracha;lapis,2,9.519
escolar_0404,train,apontador;borracha;lapis,3,8.904
escolar_0405,train,lapis;apontador;borracha,3,8.916
escolar_0406,train,borracha;lapis;apontador,3,9.716
escolar_0407,train,apontador;borracha;lapis,3,9.543
escolar_0408,train,lapis;borracha,2,9.288
escolar_0409,train,borracha;lapis;apontador,3,9.621
escolar_0410,train,apontador;lapis,2,8.710
escolar_0411,train,lapis;apontador;borracha,3,9.173
escolar_0412,train,borracha;apontador;lapis,3,9.159
escolar_0413,train,apontador,1,8.821
escolar_0414,train,lapis;apontador;borracha,3,9.441
escolar_0415,train,borracha,1,8.492
escolar_0416,train,apontador;lapis,2,9.775
escolar_0417,train,lapis;borracha,2,8.758
escolar_0418,train,borracha;apontador,2,8.985
escolar_0419,train,apontador,1,8.653
escolar_0420,valid,lapis;borracha;apontador,3,9.562
escolar_0421,valid,borracha;apontador;lapis,3,8.954
escolar_0422,valid,apontador;lapis,2,8.409
escolar_0423,valid,lapis;apontador,2,8.507
escolar_0424,valid,borracha;apontador;lapis,3,9.365
escolar_0425,valid,apontador;borracha,2,8.858
escolar_0426,valid,lapis;borracha;apontador,3,9.190
escolar_0427,valid,borracha;apontador,2,9.418
escolar_0428,valid,apontador;lapis;borracha,3,9.243
escolar_0429,valid,lapis;apontador;borracha,3,9.379
escolar_0430,valid,borracha;apontador;lapis,3,9.733
escolar_0431,valid,apontador;lapis,2,9.036
escolar_0432,valid,lapis;borracha;apontador,3,8.664
escolar_0433,valid,borracha;apontador,2,8.816
escolar_0434,valid,apontador,1,9.789
escolar_0435,valid,lapis;borracha;apontador,3,8.503
escolar_0436,valid,borracha;lapis;apontador,3,9.777
escolar_0437,valid,apontador;borracha,2,9.562
escolar_0438,valid,lapis;apontador;borracha,3,8.520
escolar_0439,valid,borracha;apontador;lapis,3,9.573
escolar_0440,valid,apontador,1,8.514
escolar_0441,valid,lapis;borracha,2,9.378
escolar_0442,valid,borracha;lapis;apontador,3,9.264
escolar_0443,valid,apontador;borracha,2,9.488
escolar_0444,valid,lapis;apontador,2,8.561
escolar_0445,valid,borracha;lapis,2,8.574
escolar_0446,valid,apontador;lapis,2,8.386
escolar_0447,valid,lapis;apontador,2,9.542
escolar_0448,valid,borracha;apontador,2,9.278
escolar_0449,valid,apontador,1,9.711
escolar_0450,valid,lapis;borracha,2,8.510
escolar_0451,valid,borracha;apontador,2,8.856
escolar_0452,valid,apontador;lapis;borracha,3,9.211
escolar_0453,valid,lapis;apontador;borracha,3,9.693
escolar_0454,valid,borracha;apontador;lapis,3,8.350
escolar_0455,valid,apontador;borracha,2,8.808
escolar_0456,valid,lapis,1,9.665
escolar_0457,valid,borracha;lapis;apontador,3,9.625
escolar_0458,valid,apontador,1,9.070
escolar_0459,valid,lapis;borracha;apontador,3,8.882
escolar_0460,valid,borracha;lapis;apontador,3,9.197
escolar_0461,valid,apontador;borracha;lapis,3,9.269
escolar_0462,valid,lapis;apontador;borracha,3,9.047
escolar_0463,valid,borracha;apontador,2,8.717
escolar_0464,valid,apontador;lapis,2,9.217
escolar_0465,valid,lapis;apontador;borracha,3,8.535
escolar_0466,valid,borracha;lapis;apontador,3,8.748
escolar_0467,valid,apontador;lapis,2,9.047
escolar_0468,valid,lapis;borracha;apontador,3,8.988
escolar_0469,valid,borracha;lapis;apontador,3,8.881
escolar_0470,valid,apontador,1,8.623
escolar_0471,valid,lapis;apontador,2,9.720
escolar_0472,valid,borracha;apontador,2,8.972
escolar_0473,valid,apontador;borracha,2,9.069
escolar_0474,valid,lapis;apontador,2,8.896
escolar_0475,valid,borracha;lapis;apontador,3,9.386
escolar_0476,valid,apontador;lapis;borracha,3,9.092
escolar_0477,valid,lapis,1,8.482
escolar_0478,valid,borracha;apontador;lapis,3,9.481
escolar_0479,valid,apontador;borracha,2,9.795
escolar_0480,valid,lapis;apontador,2,8.474
escolar_0481,valid,borracha;apontador;lapis,3,9.559
escolar_0482,valid,apontador,1,8.993
escolar_0483,valid,lapis;borracha,2,9.700
escolar_0484,valid,borracha;lapis;apontador,3,8.841
escolar_0485,valid,apontador,1,8.309
escolar_0486,valid,lapis,1,8.931
escolar_0487,valid,borracha;lapis,2,8.728
escolar_0488,valid,apontador;lapis;borracha,3,9.478
escolar_0489,valid,lapis;borracha;apontador,3,8.877
escolar_0490,valid,borracha;apontador;lapis,3,8.512
escolar_0491,valid,apontador;lapis,2,9.001
escolar_0492,valid,lapis;apontador,2,8.515
escolar_0493,valid,borracha;lapis;apontador,3,9.233
escolar_0494,valid,apontador;borracha,2,9.010
escolar_0495,valid,lapis;apontador,2,9.450
escolar_0496,valid,borracha,1,8.580
escolar_0497,valid,apontador;borracha;lapis,3,9.520
escolar_0498,valid,lapis,1,9.441
escolar_0499,valid,borracha;apontador;lapis,3,9.124
escolar_0500,valid,apontador;lapis,2,9.712
escolar_0501,valid,lapis;borracha,2,8.795
escolar_0502,valid,borracha;apontador,2,8.993
escolar_0503,valid,apontador;lapis;borracha,3,9.359
escolar_0504,valid,lapis;borracha;apontador,3,9.187
escolar_0505,valid,borracha;apontador;lapis,3,8.413
escolar_0506,valid,apontador;borracha,2,9.797
escolar_0507,valid,lapis;borracha,2,8.491
escolar_0508,valid,borracha;lapis,2,9.430
escolar_0509,valid,apontador;lapis,2,9.646
escolar_0510,test,lapis;apontador,2,8.990
escolar_0511,test,borracha,1,9.157
escolar_0512,test,apontador;lapis,2,8.677
escolar_0513,test,lapis;apontador;borracha,3,9.403
escolar_0514,test,borracha;apontador,2,8.965
escolar_0515,test,apontador;lapis;borracha,3,8.900
escolar_0516,test,lapis;borracha;apontador,3,9.727
escolar_0517,test,borracha;lapis,2,8.868
escolar_0518,test,apontador;lapis,2,8.377
escolar_0519,test,lapis;borracha,2,9.623
escolar_0520,test,borracha;apontador;lapis,3,8.608
escolar_0521,test,apontador;borracha,2,9.309
escolar_0522,test,lapis;borracha;apontador,3,8.928
escolar_0523,test,borracha;apontador;lapis,3,9.705
escolar_0524,test,apontador;borracha,2,8.909
escolar_0525,test,lapis;apontador;borracha,3,8.534
escolar_0526,test,borracha;apontador;lapis,3,8.528
